score,comment,timestamp
5,好吃！好评好评 隔几天就想吃,2025/08/04 00:00:00
5,超级好吃家人们，辣度刚刚好#鸡肉炒米粉+年糕+宽粉三拼#加宽粉可好吃了,2025/08/03 00:00:00
5,非常美味的炒米粉，推荐品尝,2025/08/03 00:00:00
5,很棒，味足，好吃爱吃，美味,2025/08/02 00:00:00
5,每次都有很认真的看我的备注，这家店的口味真的是方圆十里我最爱的！酸包菜yyds！好吃到我几乎全部吃光了……hen?kai?wei,2025/08/02 00:00:00
5,味美量大，经济实惠，谢谢老板。,2025/08/02 00:00:00
5,新疆炒米粉味道正宗，包装完好无损，送达速度很快，整体非常满意??????#【热赞】酱香牛肉炒米粉# #宠粉收藏??超值加菜3选1#,2025/08/02 00:00:00
5,酱多多的??辣度够的??味道够的??分量也是够够的??,2025/08/02 00:00:00
5,好久没吃了，就想这个味道，米粉很弹，很有嚼劲，很香，配料也很多,2025/08/02 00:00:00
5,够辣够味   这个米粉很劲道  我觉得味道是不错的  吃不了辣的就点微微辣吧  微辣加辣有点辣了但是吃得很爽  配菜也很多  推荐,2025/08/02 00:00:00
5,非常好吃 明天我要再点个微辣的 我很能吃辣 但是特辣实在太辣了,2025/08/02 00:00:00
5,非常美味的炒粉，料非常丰富，推荐,2025/08/02 00:00:00
5,#【招牌】酱香鸡肉炒米粉#好吃入味，没有对手，新疆炒米粉认准桃爷,2025/08/02 00:00:00
5,同事推荐的。好吃。可以冲冲冲 。认真看备注。很不错的商家。试试,2025/08/01 00:00:00
5,#【招牌】酱香鸡肉炒米粉# #【招牌】酱香鸡肉炒米粉#好吃????，味道绝了，微辣，看着好红实际不是很辣，爱了爱了，下次继续点这家，好吃。,2025/08/01 00:00:00
5,终于吃到了正宗的新疆炒米粉 个人认为泡菜的最好吃 ！,2025/07/31 00:00:00
5,好吃好吃，粉好粗很弹，会再次回购的！辣度也正好！,2025/07/31 00:00:00
5,好吃，很大一份，三拼满足大馋鬼。粉很劲道，微辣刚刚好,2025/07/31 00:00:00
5,非常贴心的商家，还准备了一次性围裙，解救了我的白衣服。他们家的炒米粉真的是yyds，服务也非常贴心,2025/07/31 00:00:00
5,包装很好 味道不错 分量也很多,2025/07/31 00:00:00
5,味道非常赞，软软糯糯，好吃，分量也非常足，价格优惠，超赞,2025/07/31 00:00:00
5,"#【招牌】酱香鸡肉炒米粉#好吃#宠粉收藏??超值加菜3选1#那很美味了#小醋包（按需点够，多点不送）#炒米粉就得放醋 谁能懂呀家人们 太香了
",2025/07/31 00:00:00
5,好吃好吃，朋友推荐的，她说这家炒米粉老好吃了哈哈哈哈，味道很棒,2025/07/31 00:00:00
5,非常好吃！味道很棒很满意，还会再点的??????,2025/07/31 00:00:00
5,#【爆款】泡菜鸡肉炒米粉(香辣)#太好吃了好吃哭了,2025/07/31 00:00:00
5,料满满，粉很弹，中辣吃的刚刚好！已经是第二次点了！,2025/07/31 00:00:00
5,【招牌】酱香鸡肉炒米粉真的绝绝子！米粉软糯，鸡肉嫩而不柴，酱料味道超级赞?? 价格也实惠，下次还要再来吃！#点亮↗?超值购 |嘎吱脆骨丸限1颗多点不送# #点亮↗?超值购 |夹心牛肉丸限1颗多点不送#,2025/07/31 00:00:00
5,#【网红】夹心蟹排炒米粉#好吃好吃米粉很弹#点亮↗?超值购 |嘎吱脆骨丸限1颗多点不送# #点亮↗?超值购 |夹心牛肉丸限1颗多点不送# #点亮↗?超值购 |蟹棒一颗（仅限一份）# #点亮↗?超值购 |美味鱼豆腐限1颗多点不送#送的丸子也很好吃，分量也可以,2025/07/31 00:00:00
5,"好吃 微辣加辣正好 还有一次性围裙 很周到
",2025/07/30 00:00:00
5,#酱香鸡肉炒米粉+芝麻香香囊（半张切好）#份量很足，味道也不错，没尝试过的可以试试,2025/07/30 00:00:00
5,#鸡肉炒米粉+年糕+宽粉三拼#吃了两年了，深圳最好吃的新疆炒米粉！而且老板很仔细认真，有看备注，尊重个人饮食习惯,2025/07/30 00:00:00
5,好吃，,2025/07/30 00:00:00
5,#【招牌】酱香鸡肉炒米粉# 这家新疆炒米粉特别好吃 味道正宗 绝了！ 性价比真的很高！,2025/07/29 00:00:00
5,非常好吃的一家新疆炒米粉，菜多粉也多,2025/07/29 00:00:00
5,第一次在这家点餐，收到后很惊喜。价格实惠！菜品丰富！又超好吃！午餐首选！ 鸡肉分量很足，也很入味想点这家外卖的不要犹豫啦，可以激情下单！,2025/07/29 00:00:00
5,#鸡肉炒馕#鸡肉炒馕也是非常的好吃，每个馕都裹满了酱汁，喜欢吃爆辣的一定要来尝尝,2025/07/29 00:00:00
5,#新疆酱香牛肉炒馕#怎么会有这么好吃的新疆牛肉炒馕，实在是太好吃了????????,2025/07/29 00:00:00
5,味道还不错，搭配的酸菜和芹菜很好吃,2025/07/29 00:00:00
5,包装很不错，一点都没有漏出来#【精品】野蘑菇牛肉炒米粉#,2025/07/29 00:00:00
5,#【招牌】酱香鸡肉炒米粉#挺好吃的，不知道是是不是我的问题，买的鸡肉，吃起来是瘦肉。,2025/07/29 00:00:00
5,味道还可以，挺好吃的，很入味,2025/07/29 00:00:00
5,分量很足 辣味也很浓,2025/07/29 00:00:00
4,份量很多建议购买#【网红】夹心蟹排炒米粉# 味道很好吃挺香的吃着 ,2025/07/29 00:00:00
5,很好吃够辣 量也很足 特别特别棒 安利,2025/07/29 00:00:00
5,红亮诱人的酱汁裹满米粉，芹菜脆爽、肉肉入味，辣得过瘾超香,2025/07/29 00:00:00
3,配菜少，粉的份量是够的，过于油腻，不合口味,2025/07/28 00:00:00
5,#【热赞】酱香牛肉炒米粉#非常可以，量足推荐,2025/07/28 00:00:00
5,"#【招牌】酱香鸡肉炒米粉#
天哪，香死谁啊！这个酱料好有味啊，本新疆人觉得很正宗好吃好吃好吃??",2025/07/28 00:00:00
5,分量很足，超级好吃的一家新疆炒米粉，#【招牌】酱香鸡肉炒米粉#鸡肉很多，每次都光盘,2025/07/28 00:00:00
5,味道不错，分量够，挺好吃的，很入味。,2025/07/28 00:00:00
2,真的很一般…鸡肉口味很奇怪硬而且酱也不辣很油 真的不好吃,2025/07/28 00:00:00
5,好吃，料给的很足，酸菜牛肉好吃,2025/07/28 00:00:00
5,点过好多家，这家店的炒米粉辣的刚好，很香,2025/07/28 00:00:00
5,这家的外卖味道独具一格，菜品肥而不腻，鲜香可口，绝对值得多次回购。好吃，还有围裙送,2025/07/27 00:00:00
5,包装很严实，店家也按照备注加了好多芹菜，够辣还份量十足，最后没吃完??,2025/07/27 00:00:00
5,辣度合适，很好吃，很合口味,2025/07/27 00:00:00
5,包装完好无损，味道很不错，值得推荐,2025/07/27 00:00:00
5,#【招牌】酱香鸡肉炒米粉#一如既往的好吃,2025/07/27 00:00:00
5,太香了 朋友推荐来点的#【招牌】酱香鸡肉炒米粉#,2025/07/27 00:00:00
5,这次加了很多料，吃起来更好吃了！一定要试试加蘑菇很很多菜和肉的感觉哦！,2025/07/26 00:00:00
5,特别好吃 太喜欢桃爷了,2025/07/26 00:00:00
5,"#【爆款】泡菜鸡肉炒米粉(香辣)#好吃好吃好吃 加酸菜之后更好吃啦
",2025/07/26 00:00:00
5,量特别多，一大碗，味道很好，餐品保温的也很好，包装也很仔细，还有醋包和一次性围裙????,2025/07/26 00:00:00
5,#【招牌】酱香鸡肉炒米粉#巨好吃，我点了十来次了已经，想吃新疆炒米粉就点桃爷,2025/07/26 00:00:00
5,口味不错 分量也蛮大的 回购几次啦 好吃,2025/07/26 00:00:00
5,#【招牌】酱香鸡肉炒米粉#骑手送的很快 送过来还很热 老板也有看备注 好吃！朋友也很喜欢 抢着吃,2025/07/25 00:00:00
5,米粉超好吃，味道好，米粉煮的也刚好，微辣加辣这个辣度太合适了！已经买了很多次了，超级香！加了泡菜是灵魂！,2025/07/24 00:00:00
2,"不好吃，没有香味，只有咸鲜味
馕有点酸",2025/07/22 00:00:00
5,很好吃 分量足，已多次,2025/07/22 00:00:00
5,新疆牛肉炒馕太好吃啦，天天吃，，根本停不下来,2025/7/20 0:00
5,爆辣新疆炒米粉，喜欢吃辣的都说好，谁吃谁知道??????????????????,2025/7/20 0:00
5,全深圳最正宗的新疆炒米粉，给朋友也点了一份，朋友说吃完变成了桃爷新疆炒米粉的死忠粉,2025/7/20 0:00
5,点了好多次啦，一次比一次好吃，非常正宗??????????????????,2025/7/20 0:00
5,大暴雨的天气，在开着空调的房间里面来上这么一口热乎的爽啊，量又足，吃起来又新鲜,2025/7/18 0:00
2,第一次吃新疆炒米粉只有酸味,2025/7/16 0:00
5,真的很好吃，没踩雷，份量很足#【招牌】酱香鸡肉炒米粉#,2025/7/16 0:00
5,分量挺足的，味道也不错～,2025/7/16 0:00
5,好久没吃了，一如既往的好吃，微辣刚刚好，下次继续,2025/7/15 0:00
5,点了无数次新疆牛肉炒馕了，一次比一次好吃，比在新疆吃的还要正宗,2025/7/14 0:00
5,#【招牌】酱香鸡肉炒米粉# #宠粉收藏??超值加菜3选1# #点亮↗?超值购 |蟹棒一颗（仅限一份）#第二次点，味道很不错，而且比别家更细心的是，送了一次性围裙，这个必须好评。,2025/7/14 0:00
5,分离很大 酱料很足 酸酸辣辣好吃好吃,2025/7/13 0:00
5,分量很多，喜欢吃辣的可以试试爆辣，真的很好吃，尤其是牛肉炒馕??????????????????????,2025/7/13 0:00
5,老板做的新疆炒米粉越来越好吃啦，真的太香了，越吃越想吃??????????,2025/7/13 0:00
3,有点不太辣哈，也有可能我吃的比较重还备注了重辣。总体还可以吧，,2025/7/12 0:00
5,好吃！宽粉最好吃！,2025/7/12 0:00
5,好吃，好吃到围着地球跑1万圈都忘不了他们家的味道 酸酸辣辣的开胃吃得一点不剩 就差把包装壳吃了 ,2025/7/11 0:00
5,分量超级多，味道也很好#【招牌】酱香鸡肉炒米粉#,2025/7/9 0:00
5,牛肉炒馕真的非常好吃，超级好吃，喜欢吃辣的可以点爆辣，绝了,2025/7/7 0:00
5,已经是第三次够买了非常好吃,2025/7/7 0:00
4,我已经点过很多次了，感觉非常好吃，然后量也很多，我自己感觉就是很好吃，很好吃,2025/7/6 0:00
5,#【网红】夹心蟹排炒米粉#又回购啦，期末周就想吃点辣的放松一下哈哈，煎蛋好吃,2025/7/3 0:00
5,太好吃啦，从来没吃过这么好吃的牛肉炒馕，非常推荐????????????????????,2025/7/1 0:00
2,说实话真的报吃,2025/6/29 0:00
5,还不错值得购买性价比很高，口感很好很好吃，下次还会继续光顾着#【热赞】酱香牛肉炒米粉# #特色酱香鸡肉炒年糕#,2025/6/29 0:00
4,一般般,2025/6/28 0:00
5,味道很好，送的很快，份量也很足推荐推荐很好吃,2025/6/28 0:00
5,"""新疆朋友力荐的炒米粉绝了！酱香浓郁，辣得过瘾，米粉Q弹有嚼劲，配菜也超足量",2025/6/28 0:00
5,#【网红】夹心蟹排炒米粉#金针菇很吸汁，加到炒米粉里特别好吃，炒米粉很软口感很棒，回购了好多次啦,2025/6/27 0:00
5,好吃推荐,2025/6/27 0:00
5,#新疆酱香牛肉炒馕# #??地造一双??招牌牛肉炒米粉+天润奶啤#套餐很划算，份量很足，牛肉很新鲜，炒米粉味道正宗，价格实惠，非常好吃。,2025/6/26 0:00
5,味道不错，炒米粉就他家的好吃,2025/6/26 0:00
5,#【筋道】鸡肉炒米粉+宽粉双拼#复购好几次了，份量超级足，一个人吃不完，宽粉软软糯糯口感超好,2025/6/26 0:00
5,#【牛气】泡菜牛肉炒米粉#好吃爱吃下次还会回购好吃爱吃下次还会回购好吃爱吃下次还会回购好吃爱吃下次还会回购,2025/6/26 0:00
1,"巨难吃
",2025/6/26 0:00
5,好吃得没话说，连点好几天，把朋友都看馋了跟我一起点了,2025/6/25 0:00
5,#【豪气】牛肉炒米粉+馕双拼#份量满满的，味道超级??，菜品很新鲜，我喜欢吃辣，辣的很过瘾，完美的一顿晚餐，下次试试别的菜品～,2025/6/25 0:00
5,#【筋道】鸡肉炒米粉+宽粉双拼#双拼超级好吃，煎蛋感觉是现煎的不是预制，微辣特别好吃，已经回购好几次啦,2025/6/25 0:00
5,#【招牌】酱香鸡肉炒米粉+可口可乐水# 这家新疆炒米粉真的绝绝子，配菜好多，份量也好多一盒都够两个人吃了！辣辣的炒米粉配上冰凉爽口的饮料，这个夏天真的很酸爽??????,2025/6/25 0:00
5,"天啊！！！！！好好吃！！！！好正宗！！！！好地道！！！！！天啊！！！真的好好吃呀！！！
我在新疆上了四年学，回来后再也没有吃过这么正宗的炒米粉了！！！真的好好吃呀！！！天呀！！！！",2025/6/25 0:00
5,今天奢侈地点了一份豪华加料的炒米粉，料多的都分装了??这家对我来说微辣是有点辣的，但吃完不会觉得辣得不舒服，味道很香！这个馕我好喜欢??都很好吃??,2025/6/25 0:00
5,#【招牌】酱香鸡肉炒米粉#好吃滴，味道挺好微辣刚刚好，复购好几次了，老板有认真看备注，赞一个,2025/6/23 0:00
5,好吃,2025/6/23 0:00
5,桃爷新疆炒馕太好吃啦，尤其是牛肉炒馕，实在是太好吃啦,2025/6/23 0:00
